dispatching_base_number,Date/Time,active_vehicles,trips,Hour,Day,DayOfWeek,Month
B02512,2015-01-01,190,1132,0,1,3,1
B02765,2015-01-01,225,1765,0,1,3,1
B02764,2015-01-01,3427,29421,0,1,3,1
B02682,2015-01-01,945,7679,0,1,3,1
B02617,2015-01-01,1228,9537,0,1,3,1
B02598,2015-01-01,870,6903,0,1,3,1
B02598,2015-01-02,785,4768,0,2,4,1
B02617,2015-01-02,1137,7065,0,2,4,1
B02512,2015-01-02,175,875,0,2,4,1
B02682,2015-01-02,890,5506,0,2,4,1
B02765,2015-01-02,196,1001,0,2,4,1
B02764,2015-01-02,3147,19974,0,2,4,1
B02765,2015-01-03,201,1526,0,3,5,1
B02617,2015-01-03,1188,10664,0,3,5,1
B02598,2015-01-03,818,7432,0,3,5,1
B02682,2015-01-03,915,8010,0,3,5,1
B02512,2015-01-03,173,1088,0,3,5,1
B02764,2015-01-03,3215,29729,0,3,5,1
B02512,2015-01-04,147,791,0,4,6,1
B02682,2015-01-04,812,5621,0,4,6,1
B02598,2015-01-04,746,5223,0,4,6,1
B02765,2015-01-04,183,993,0,4,6,1
B02617,2015-01-04,1088,7729,0,4,6,1
B02764,2015-01-04,2862,20441,0,4,6,1
B02512,2015-01-05,194,984,0,5,0,1
B02682,2015-01-05,951,6012,0,5,0,1
B02617,2015-01-05,1218,7899,0,5,0,1
B02764,2015-01-05,3387,20926,0,5,0,1
B02598,2015-01-05,907,5798,0,5,0,1
B02765,2015-01-05,227,1133,0,5,0,1
B02764,2015-01-06,3473,25301,0,6,1,1
B02682,2015-01-06,1022,7491,0,6,1,1
B02617,2015-01-06,1336,10128,0,6,1,1
B02765,2015-01-06,234,1376,0,6,1,1
B02512,2015-01-06,218,1314,0,6,1,1
B02598,2015-01-06,933,6816,0,6,1,1
B02617,2015-01-07,1363,11528,0,7,2,1
B02682,2015-01-07,1039,9078,0,7,2,1
B02764,2015-01-07,3603,29949,0,7,2,1
B02765,2015-01-07,248,1704,0,7,2,1
B02512,2015-01-07,217,1446,0,7,2,1
B02598,2015-01-07,974,8397,0,7,2,1
B02765,2015-01-08,262,1911,0,8,3,1
B02598,2015-01-08,1070,10050,0,8,3,1
B02512,2015-01-08,238,1772,0,8,3,1
B02682,2015-01-08,1135,10416,0,8,3,1
B02764,2015-01-08,3831,33802,0,8,3,1
B02617,2015-01-08,1463,13462,0,8,3,1
B02617,2015-01-09,1455,13165,0,9,4,1
B02512,2015-01-09,224,1560,0,9,4,1
B02764,2015-01-09,3820,33517,0,9,4,1
B02682,2015-01-09,1140,10477,0,9,4,1
B02598,2015-01-09,1070,9538,0,9,4,1
B02765,2015-01-09,280,2039,0,9,4,1
B02682,2015-01-10,1057,11629,0,10,5,1
B02617,2015-01-10,1331,13856,0,10,5,1
B02598,2015-01-10,949,10287,0,10,5,1
B02512,2015-01-10,206,1646,0,10,5,1
B02764,2015-01-10,3558,38864,0,10,5,1
B02765,2015-01-10,245,2202,0,10,5,1
B02765,2015-01-11,220,1672,0,11,6,1
B02598,2015-01-11,832,7176,0,11,6,1
B02682,2015-01-11,943,8461,0,11,6,1
B02764,2015-01-11,3186,27681,0,11,6,1
B02617,2015-01-11,1228,10932,0,11,6,1
B02512,2015-01-11,162,1104,0,11,6,1
B02764,2015-01-12,3499,26852,0,12,0,1
B02765,2015-01-12,279,1711,0,12,0,1
B02512,2015-01-12,217,1399,0,12,0,1
B02598,2015-01-12,964,7915,0,12,0,1
B02682,2015-01-12,1082,9107,0,12,0,1
B02617,2015-01-12,1323,10662,0,12,0,1
B02765,2015-01-13,258,1697,0,13,1,1
B02598,2015-01-13,975,8713,0,13,1,1
B02617,2015-01-13,1342,11825,0,13,1,1
B02512,2015-01-13,234,1652,0,13,1,1
B02764,2015-01-13,3658,29983,0,13,1,1
B02682,2015-01-13,1092,9629,0,13,1,1
B02764,2015-01-14,3736,29550,0,14,2,1
B02765,2015-01-14,271,1600,0,14,2,1
B02598,2015-01-14,1030,8870,0,14,2,1
B02512,2015-01-14,233,1582,0,14,2,1
B02617,2015-01-14,1405,11965,0,14,2,1
